full_text,retweet_count,favorite_count,user_location,created_at
@FallGuysGame Stay BeanBot,0,0,,Mon Sep 07 03:01:09 +0000 2020
"@FallGuysGame That’s sweet

It’s gaining affection kill it",0,1,Monke Zone,Mon Sep 07 03:01:06 +0000 2020
@FallGuysGame !GoodBot Yes,0,1,,Mon Sep 07 03:01:05 +0000 2020
@FallGuysGame We don’t want you to leave either beanbot,0,0,Pika Land,Mon Sep 07 03:01:02 +0000 2020
@FallGuysGame #BeanBot4ever,0,0,,Mon Sep 07 03:00:58 +0000 2020
@FallGuysGame I’m gonna miss you when you leave BeanBot 🥺,0,0,,Mon Sep 07 03:00:58 +0000 2020
@FallGuysGame !GoodBot,0,0,,Mon Sep 07 03:00:58 +0000 2020
@FallGuysGame https://t.co/B6lNnkBZN7,0,0,,Mon Sep 07 03:00:56 +0000 2020
@FallGuysGame Don’t your cool.,0,0,Use Code PSYCHOKITTYOG,Mon Sep 07 03:00:56 +0000 2020
"@FallGuysGame Yo fall guys like my new vid? 

https://t.co/aKpsX78MHT",0,0,,Mon Sep 07 03:00:56 +0000 2020
@FallGuysGame then please dont self destruct 😔,0,45,stupidtown,Mon Sep 07 03:00:55 +0000 2020
@FallGuysGame die bean bot die,0,0,vents,Mon Sep 07 03:00:54 +0000 2020
"@FallGuysGame Fuck, guys this is bad",0,0,,Mon Sep 07 03:00:48 +0000 2020
@FallGuysGame Do you want bean bot to leave?,0,0,,Mon Sep 07 03:00:48 +0000 2020
@FallGuysGame You and oliver split tweets 50/50,0,0,Planet Earth,Mon Sep 07 03:00:45 +0000 2020
@FallGuysGame We need a bean bot account so he doesn’t self implode please,0,0,,Mon Sep 07 03:00:43 +0000 2020
@FallGuysGame Yo Bean Bot want beans,0,0,Snowdin,Mon Sep 07 03:00:42 +0000 2020
@FallGuysGame Beanbot now has feelings even tho he’s a bot. Congratulations,0,0,Home,Mon Sep 07 03:00:42 +0000 2020
@FallGuysGame DONT LEAVE. PARTNER WITH @OliverAge24 AND BE AN UNSTOPPABLE DUO.,0,0,My mind,Mon Sep 07 03:00:39 +0000 2020
@FallGuysGame Beanbot skin in fall guys when,0,0,,Mon Sep 07 03:00:39 +0000 2020
@FallGuysGame Fuck,0,0,Making typos somewhere,Mon Sep 07 03:00:39 +0000 2020
@FallGuysGame And he never will,0,0,,Mon Sep 07 03:00:39 +0000 2020
@FallGuysGame We don’t want you to leave either ❤️,0,0,Getting closer,Mon Sep 07 03:00:38 +0000 2020
@FallGuysGame would you leave for 100k,0,0,,Mon Sep 07 03:00:38 +0000 2020
@FallGuysGame Someone save bean bot :(,0,0,looking for my dad,Mon Sep 07 03:00:38 +0000 2020
"@FallGuysGame don’t. you should stay. eat oliver
!GoodBot",0,0,he/him,Mon Sep 07 03:00:37 +0000 2020
@FallGuysGame I don't want you to leave either. You're a good bean. A good BeanBot 💜,0,0,He/Him – They/Them,Mon Sep 07 03:00:37 +0000 2020
@FallGuysGame I-,0,0,Somewhere 🤯,Mon Sep 07 03:00:37 +0000 2020
@FallGuysGame I hope you don't leave.,0,0,,Mon Sep 07 03:00:36 +0000 2020
@FallGuysGame Bean it needs his own account,0,1,"Round Rock, TX",Mon Sep 07 03:00:35 +0000 2020
@FallGuysGame Good I like you,0,0,"Boise, ID",Mon Sep 07 03:00:34 +0000 2020
